#Time	vx	vy	vz
0	0	0	0
0.294777234	219.979674549765	0	126.984026181615
0.300239963	206.490199312466	0	147.911419365669
0.306605102	176.115529273513	0	183.028181626798
0.311749205	141.521272027409	0	210.921126579308
0.316613513	105.46207189183	0	231.070894359484
0.321202535	66.4629776154823	0	245.150327270239
0.325667805	32.2488897647859	0	251.94445128738
0.330097735	11.7383344657799	0	253.728614221896
0.644487504	-0.04771147625986	0	253.999995782305
0.648935887	-23.6040826520535	0	252.900885557741
0.653468368	-54.9367995144433	0	247.98780182421
0.65818653	-87.5340863666789	0	238.440307899559
0.66332161	-128.5277208004	0	219.08134227341
0.669103466	-163.269372326121	0	194.574199011528
0.671669963	-187.414986263376	0	171.439904274202
0.677060789	-208.502370508711	0	145.061257773852
1.004238917	-220.008594889963	0	126.933913280823
1.009124698	-230.05533813325	0	107.659348628195
1.013742674	-243.613219297805	0	71.8929678283286
1.018218622	-251.343346405421	0	36.6402744982097
1.022645003	-253.932049681217	0	-5.87387303532661
1.027151365	-249.646999143211	0	-46.8226816170852
1.03186682	-238.577239858559	0	-87.1602182949937
1.410193315	-219.992522596124	0	-126.96176618558
1.415463474	-213.276257267331	0	-137.946476008319
1.418456269	-196.137789637376	0	-161.387653142851
1.424728851	-171.540177308136	0	-187.323149012135
1.427502509	-143.132282350599	0	-209.831204856555
1.432363553	-105.121451276722	0	-231.226049383629
1.436875828	-48.5342759472766	0	-249.319910688068
1.68263962	-0.08137895268153	0	-253.999987109574
1.684870191	38.5551502283497	0	-251.056792184603
1.689472311	69.7504628301742	0	-244.23526548634
1.694353353	106.739503573212	0	-230.483572974787
1.699669967	140.502959214267	0	-211.600842190161
1.705401527	161.212654146516	0	-196.281640600465
1.711981803	187.986035844089	0	-170.813503871268
1.717981072	203.858170053718	0	-151.518459999043
2.118096949	219.951281763308	0	-127.033199434873
2.121789647	229.100844179743	0	-109.675936043493
2.12645588	241.093833076917	0	-79.9359997668357
2.1309445	250.633769257863	0	-41.2153309446261
2.13537425	253.738924318527	0	-11.5130650713923
2.139819817	253.061083096937	0	21.8194889425802
2.144372893	247.085706454274	0	58.861306070885
2.149110332	237.470076131851	0	90.1330866740447
2.150870259	220.463814955859	0	126.141667320103
2.445616916	219.446085184946	-0.471591438609599	127.903062188081
2.448241923	211.04705625547	-0.380951365082117	141.33295644545
2.450873547	199.11659112396	-0.379993494511332	157.69730022222
2.453825657	184.613716968547	-0.677481530159785	174.451494016145
2.456978188	167.484475172486	-0.317205445402476	190.957678132268
2.459440911	148.209868422125	-0.406054434033164	206.275652488871
2.461910096	131.217385493588	-0.404991930535739	217.480666697716
2.466569914	103.437516229174	-0.643801968231402	231.983309219374
2.470952122	67.5458581610048	-0.456390933520271	244.853735833625
2.475308592	33.2838284207126	-0.459087288561611	251.809377776042
2.794134604	-1.03191078075546	-0.47047603985814	253.99746789168
2.796860723	-21.2756669829971	-0.36682184453434	253.107072728666
2.799579143	-41.9361092340018	-0.735721214631583	250.513073582058
2.802236568	-62.8427895424982	-0.376304128997014	246.102900364073
2.807288773	-87.8824370512388	-0.395866833564124	238.311833805604
2.811342656	-131.478880865577	-0.493354149589419	217.322502894139
2.814412757	-156.998092245173	-0.651444366162547	199.66769822882
2.818865144	-183.272478335779	-0.449197250822986	175.860723697196
2.821266803	-204.442012791997	-0.416378844790252	150.729141814052
3.146357129	-220.434119530108	-0.470638426593357	126.192619689973
3.151744858	-222.913958738461	-0.556820879446589	121.758165638993
3.15501206	-232.921013148252	-0.306072290602207	101.309928189324
3.157284249	-241.617224623483	-0.4401042342868	78.3385537030578
3.161114756	-248.792196122393	-0.522124231106805	51.1681746484663
3.165064752	-253.671142958118	-0.506329626662914	12.9114054799012
3.167471117	-253.078813895645	-0.415564554836906	-21.6093568515136
3.170687824	-248.701622094154	-0.621754055235318	-51.6055865845361
3.174692281	-236.985879237593	-0.249721685181893	-91.398136776566
3.178541556	-225.49706775875	-0.519578497139981	-116.905161856493
3.553959954	-219.499098709595	-0.471473963297878	-127.812063169051
3.557774403	-209.466688373602	-0.524322123588493	-143.664261863247
3.561654961	-186.055716729399	-0.515389797034344	-172.91327690502
3.564607029	-164.630354043334	-0.338745584451269	-193.423728721695
3.567383817	-140.810173481015	-0.720256641846703	-211.39532438199
3.570064902	-102.570414589615	-0.37298332578038	-232.368611961199
3.572757637	-62.390097800193	-0.371369629763007	-246.218064532905
3.575255857	-26.8190951957795	-0.400285002922125	-252.579836843833
3.816977916	0.790163714433702	-0.471616038981366	-253.99833285385
3.820256127	26.8439096812247	-0.610088856391422	-252.576786546073
3.824304883	79.2835924704796	-0.49397876928653	-241.308628796444
3.826874064	104.313438529025	-0.389229248242587	-231.591402704364
3.829637019	125.590174288036	-0.361931338005827	-220.778116183579
3.836966891	157.437947074656	-0.54571212157593	-199.321352405608
3.842634964	189.129533088229	-0.35285360650793	-169.546157927044
3.848429538	202.430791708034	-0.517725809994954	-153.41941502851
4.247333695	220.346161998006	-0.471291152776831	-126.346138829533
4.249767243	228.883823584404	-0.410922483993497	-110.127225710269
4.252196543	237.928621413577	-0.411641213518344	-88.9145021199527
4.256748393	246.493184089985	-0.439381789821721	-61.29375968013
4.258970506	252.462522141095	-0.450022321107077	-27.9013839086416
4.261191153	253.980033746925	-0.450319208771188	-3.15223446139781
4.263422311	253.231729890935	-0.896395504038711	19.7207010888518
4.266069693	250.058359541617	-0.377731660938954	44.5723359908009
4.270311401	241.176488616492	-0.471508286640313	79.6849004422043
4.273035508	225.39488155389	-0.367092640967205	117.102552468551
4.566699765	219.621552377074	-0.480140148618768	127.601501057039
4.569377211	210.64850607631	-0.373490259000514	141.926298420209
